objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_224,Stinger,https://1ou2cocktails.com/cocktails/stinger/,"<p>de crème de menthe blanche</p>
",,1,ingredient,,,,,,,2,,"Oeuf, blanc (blanc d'oeuf), cru","48,1","14,175",,,"10,8","0,85",6,"0,85"
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,"<p>de whisky, Bourbon</p>
",,2,section,Pour 1 verre,,,,,1 verre,1,verre,Whisky,252,"56,7",,,0,"0,096",0,0
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,"<p>de whisky, Bourbon</p>
",,2,ingredient,,,,,,,1,,Whisky,252,"56,7",,,0,"0,096",0,0
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,,"<p>1 cube de sucre de canne</p>
",,ingredient,,1 cube de sucre,1,cube,10,,1,,,,10,,10,,,,
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,,"<p>2-3 traits damer aromatique, Angostura</p>
",,ingredient,,2-3 traits damer aromatique,2,trait,1,,1,,,,2,,2,,,,
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,,,,section,Garniture,,,,,,1,,,,,,,,,,
cocktail_230,Old Fashioned,https://1ou2cocktails.com/cocktails/old-fashioned/,,"<p>1 Zeste dorange</p>
",,ingredient,,1 Zeste dorange,1,Zeste dorange,"0,5",,1,,,,"0,5",,"0,5",,,,
cocktail_239,Negroni,https://1ou2cocktails.com/?post_type=cocktail&p=239,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_239,Negroni,https://1ou2cocktails.com/?post_type=cocktail&p=239,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_239,Negroni,https://1ou2cocktails.com/?post_type=cocktail&p=239,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_239,Negroni,https://1ou2cocktails.com/?post_type=cocktail&p=239,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_239,Negroni,https://1ou2cocktails.com/?post_type=cocktail&p=239,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_717,Bulles Cognac et Citron,https://1ou2cocktails.com/cocktails/bulles-citronnees/,"<p>de cognac</p>
",,"0,5",section,Pour 1 verre,,,,,1 verre,1,verre,"Eau de vie de vin, type armagnac, cognac",229,"14,17",,,0,"0,37","0,5","0,07"
cocktail_717,Bulles Cognac et Citron,https://1ou2cocktails.com/cocktails/bulles-citronnees/,"<p>de cognac</p>
",,"0,5",ingredient,,,,,,,1,,"Eau de vie de vin, type armagnac, cognac",229,"14,17",,,0,"0,37","0,5","0,07"
